customer_id,company_name,customer_type,market_id,country,city,customer_tier,credit_limit_usd,payment_terms_days,preferred_categories,primary_platform,account_manager,registration_date,is_active,annual_revenue_band,lifetime_orders,avg_order_value_usd
C0001,Buyer_0001_Intl,Distributor,M05,Australia,Brisbane,Silver,25000,30,Decor,Amazon,Priya Sharma,2018-11-09,Y,200K-500K,131,13104.02
C0002,Buyer_0002_Intl,Retail Chain,M06,Canada,Vancouver,Bronze,100000,60,Storage,Wayfair,Kavya Iyer,2021-02-12,Y,500K-1M,90,27889.39
C0003,Buyer_0003_Intl,Retail Chain,M19,Ireland,Dublin,Silver,5000,45,"Kitchen,Storage",Wayfair,Kavya Iyer,2021-05-08,Y,500K-1M,94,11448.02
C0004,Buyer_0004_Intl,Online Marketplace,M08,France,Marseille,Bronze,25000,60,"Decor,Textiles",Noon,Vikram Patel,2018-11-17,Y,200K-500K,13,8271.91
C0005,Buyer_0005_Intl,Distributor,M16,Spain,Barcelona,Silver,25000,15,"Kitchen,Storage",Local Marketplace,Arjun Nair,2019-09-07,Y,<50K,66,8037.59
C0006,Buyer_0006_Intl,Distributor,M13,South Africa,Cape Town,Silver,50000,30,Storage,Amazon,Kavya Iyer,2020-11-08,Y,50K-200K,37,14210.62
C0007,Buyer_0007_Intl,Online Marketplace,M01,USA,Los Angeles,Bronze,10000,30,Storage,Direct B2B,Arjun Nair,2021-01-12,Y,50K-200K,66,17654.34
C0008,Buyer_0008_Intl,Retail Chain,M20,Portugal,Porto,Bronze,25000,15,All,Wayfair,Sneha Reddy,2019-05-08,Y,50K-200K,36,33373.21
C0009,Buyer_0009_Intl,Online Marketplace,M17,Kuwait,Kuwait City,Bronze,50000,30,All,Amazon,Priya Sharma,2019-06-28,Y,50K-200K,26,5499.73
C0010,Buyer_0010_Intl,Distributor,M07,Germany,Hamburg,Bronze,100000,60,Decor,Wayfair,Sneha Reddy,2020-02-04,N,50K-200K,75,29609.09
C0011,Buyer_0011_Intl,Online Marketplace,M13,South Africa,Johannesburg,Bronze,25000,30,Kitchen,Direct B2B,Vikram Patel,2020-03-10,Y,50K-200K,108,21633.03
C0012,Buyer_0012_Intl,Online Marketplace,M04,Singapore,Singapore City,Bronze,25000,45,Decor,Wayfair,Rahul Mehta,2020-05-05,Y,50K-200K,43,12087.46
C0013,Buyer_0013_Intl,Distributor,M04,Singapore,Singapore City,Bronze,25000,30,Textiles,Local Marketplace,Rahul Mehta,2021-07-19,Y,500K-1M,148,20118.53
C0014,Buyer_0014_Intl,Retail Chain,M06,Canada,Montreal,Bronze,50000,15,Storage,Local Marketplace,Rahul Mehta,2020-10-01,Y,200K-500K,8,12557.73
C0015,Buyer_0015_Intl,Distributor,M19,Ireland,Dublin,Bronze,25000,30,"Kitchen,Storage",Noon,Sneha Reddy,2020-03-31,Y,50K-200K,29,24166.41
C0016,Buyer_0016_Intl,Distributor,M12,Malaysia,Kuala Lumpur,Silver,5000,90,"Decor,Textiles",Noon,Kavya Iyer,2019-06-06,Y,500K-1M,40,17806.68
C0017,Buyer_0017_Intl,Gift Shop Chain,M07,Germany,Berlin,Bronze,100000,60,Storage,Wayfair,Priya Sharma,2019-09-06,Y,>1M,128,7244.7
C0018,Buyer_0018_Intl,Retail Chain,M10,Netherlands,Amsterdam,Gold,25000,90,Storage,Amazon,Rahul Mehta,2021-07-15,Y,50K-200K,84,5370.06
C0019,Buyer_0019_Intl,Wholesaler,M19,Ireland,Dublin,Bronze,25000,30,Decor,Local Marketplace,Vikram Patel,2018-11-22,Y,50K-200K,116,22230.47
C0020,Buyer_0020_Intl,Distributor,M07,Germany,Munich,Bronze,10000,30,"Decor,Textiles",Amazon,Vikram Patel,2021-06-09,Y,50K-200K,144,36174.59
C0021,Buyer_0021_Intl,Interior Design Studio,M03,UK,London,Platinum,25000,45,"Decor,Textiles",Amazon,Rahul Mehta,2021-05-19,Y,500K-1M,62,14283.14
C0022,Buyer_0022_Intl,Interior Design Studio,M13,South Africa,Johannesburg,Bronze,10000,30,"Decor,Textiles",Wayfair,Rahul Mehta,2020-03-19,Y,500K-1M,7,29533.6
C0023,Buyer_0023_Intl,Online Marketplace,M13,South Africa,Johannesburg,Gold,25000,60,Decor,Amazon,Priya Sharma,2020-01-12,Y,<50K,45,26619.53
C0024,Buyer_0024_Intl,Online Marketplace,M18,Sweden,Stockholm,Silver,5000,15,Storage,Local Marketplace,Rahul Mehta,2020-10-28,Y,50K-200K,88,37316.95
C0025,Buyer_0025_Intl,Retail Chain,M20,Portugal,Porto,Bronze,25000,30,Decor,Direct B2B,Priya Sharma,2020-08-19,Y,200K-500K,73,32982.46
C0026,Buyer_0026_Intl,Retail Chain,M08,France,Lyon,Gold,250000,30,All,Noon,Vikram Patel,2021-04-29,Y,50K-200K,37,23010.93
C0027,Buyer_0027_Intl,D2C Platform,M09,Saudi Arabia,Dammam,Bronze,5000,30,All,Direct B2B,Rahul Mehta,2019-05-19,Y,<50K,119,26555.6
C0028,Buyer_0028_Intl,Wholesaler,M07,Germany,Frankfurt,Bronze,250000,45,Decor,Amazon,Sneha Reddy,2020-03-11,Y,500K-1M,57,36016.75
C0029,Buyer_0029_Intl,Gift Shop Chain,M01,USA,Seattle,Silver,25000,30,"Decor,Textiles",Direct B2B,Sneha Reddy,2019-04-27,Y,200K-500K,8,16461.14
C0030,Buyer_0030_Intl,Distributor,M03,UK,London,Platinum,50000,30,Storage,Local Marketplace,Vikram Patel,2019-06-11,Y,500K-1M,95,13610.35
C0031,Buyer_0031_Intl,Interior Design Studio,M13,South Africa,Johannesburg,Silver,50000,30,Decor,Local Marketplace,Priya Sharma,2021-06-11,N,500K-1M,117,1223.79
C0032,Buyer_0032_Intl,D2C Platform,M17,Kuwait,Kuwait City,Silver,25000,30,Decor,Amazon,Sneha Reddy,2021-11-10,Y,200K-500K,110,33200.8
C0033,Buyer_0033_Intl,Distributor,M01,USA,Seattle,Bronze,50000,60,Decor,Wayfair,Priya Sharma,2021-04-12,Y,50K-200K,20,32198.44
C0034,Buyer_0034_Intl,Distributor,M06,Canada,Vancouver,Silver,50000,60,Textiles,Direct B2B,Sneha Reddy,2019-01-31,Y,200K-500K,124,4894.62
C0035,Buyer_0035_Intl,Interior Design Studio,M06,Canada,Montreal,Silver,25000,90,All,Wayfair,Sneha Reddy,2018-11-04,Y,<50K,53,23412.81
C0036,Buyer_0036_Intl,Online Marketplace,M12,Malaysia,Penang,Silver,10000,60,"Kitchen,Storage",Wayfair,Priya Sharma,2019-05-19,Y,200K-500K,119,18988.08
C0037,Buyer_0037_Intl,Wholesaler,M13,South Africa,Cape Town,Silver,25000,30,"Decor,Textiles",Etsy,Kavya Iyer,2020-06-28,Y,<50K,12,5453.4
C0038,Buyer_0038_Intl,Distributor,M13,South Africa,Johannesburg,Bronze,50000,45,Kitchen,Amazon,Sneha Reddy,2020-09-28,N,200K-500K,17,39238.27
